,id,name,followers,genre,popularity
73,1zrFFDzoE9XXyjEqqgDpMm,Dr Zeus,1087974,bhangra,58
74,2M8ZZEQdxPXHTee5xxkC3M,Khushboo Jain,13224,bhojpuri pop,41
75,3X2DdnmoANw8Rg8luHyZQb,Romy,76059,NA,61
76,1hYkTNl6h28hwB6IZJ3nfB,Bhavya Pandit,1355,NA,34
77,5riG2YEvjKPaqsHnPJhxYe,Puneet Sharma,21,NA,8
78,46IzioSYI2XSi7ogH4c38L,Deepika,416,NA,32
79,4Fd9MibFXkJgkVQbhMkiPs,Ananya Nanda,563,NA,25
80,3FkrV7zdcxABO5Ly3xqiBT,Anjjan Bhattacharya,170,NA,0
81,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,92692696,filmi,89
82,20wLlqoPycNJyFvqXLz6ou,Roma Sagar,188,NA,2
83,7ezZ4ix4QBrKkvxanGClFB,Jyoti Nooran,6907,modern bollywood,45
84,3xU8YsNNkmWSPewlB18NUz,Harshdeep Kaur,4527654,filmi,56
85,4cAERazLlAzVGA10ORWaUP,Manoj Muntashir,11096,modern bollywood,63
86,3cY5ariKFsYqoHm8n2ccvD,Krishna Beuraa,7785,filmi,51
87,5cBFMoMgcAt03YL2r0tS25,Raja Kumari,298341,desi hip hop,60
88,5qBaqhx9ss4iCBJJiK1OLf,Charu Semwal,804,NA,0
89,2zLJk6hSb9TMtU8XZ6Ne7t,Iulia Vantur,7434,NA,33
90,6q29t5RuXxlBuqIZsOMQss,Priya Saraiya,22640,gujarati pop,59
91,4kq8z3vydHjPDggxb16ErB,Nakash Aziz,207901,tollywood,64
92,4aykldlxvwj6cRQfhbfNMO,Anand Bhaskar,3552,NA,36
93,5BnvoIO9j362IcN5NkZ9Tq,Monsooners,184,rain,45
94,4wLHBpxGVPbiz27qxJB2RV,Puneet Dixit,707,NA,13
95,4MXbaLKhqWdVXp5RzYQPa0,Farhad Bhiwandiwala,4806,marathi pop,24
96,1cfG7UM0OD4O1II1nd15Qo,Ash King,1562087,filmi,59
97,4RlnRVxKm3jnUzOP4czbIK,Yash Narvekar,20996,desi pop,52
98,5IWLPvOnpyaiOyz8a7dM2j,Nihar Shembekar,175,NA,11
99,6amYPz7L78VSl7GoHaMe7E,Raaj Gopal Iyer,5,NA,15
100,443XJUhCBjuQhbDp3USEFi,Rahul Rajkhowa,3297,northeast indian hip hop,13
101,61if35zz1W11GejEkxTLEQ,Benny Dayal,4264010,filmi,70
102,0WpkyIAATl5W540KCSEUwX,Sumangaly,177661,tollywood,59
103,1E6arsXf5Fgsnv9YpSzjpE,Parampara Tandon,365449,desi pop,70
